Company Name,Funding Type,LinkedIn Company URL,Website URL
Diffusion Studio,Pre-Seed,https://www.linkedin.com/company/diffusionstudio/,https://diffusion.studio/
Foundry,Pre-Seed,https://www.linkedin.com/company/thefoundryai/,https://www.thefoundryai.com/
CTGT,Pre-Seed,https://www.linkedin.com/company/ctgt/,https://www.ctgt.ai/
Fix AI,Pre-Seed,https://www.linkedin.com/company/tryfixai/,https://www.tryfix.ai/
Melder,Pre-Seed,https://www.linkedin.com/company/melderai/,https://melder.io/
Reticular,Pre-Seed,https://www.linkedin.com/company/reticular-yc-f24,https://www.reticular.ai/
Cekura,Pre-Seed,https://www.linkedin.com/company/cekura/,https://www.cekura.io/
Gait,Pre-Seed,https://www.linkedin.com/company/gaitinc/,https://getgait.com/
Variant,Pre-Seed,https://www.linkedin.com/company/variantui/,https://www.variant.ai/
Synth AI,Pre-Seed,https://www.linkedin.com/company/synthai-labs/,https://www.usesynth.ai/
AutoComputer,Pre-Seed,https://www.linkedin.com/company/autocomputer/,https://www.autocomputer.ai/
Codebuff,Pre-Seed,https://www.linkedin.com/company/codebuff/,https://www.codebuff.com/
ShowAndTell,Pre-Seed,,https://www.tryshowandtell.com/
Supercontrast,Pre-Seed,https://www.linkedin.com/company/supercontrast/,https://www.supercontrast.com/
Consus,Pre-Seed,,https://www.consusindustries.co/
ManufactureAI,Pre-Seed,https://www.linkedin.com/company/manufacture-ai/,https://www.manufacture-ai.com/
Praxis AI,Pre-Seed,,https://www.praxis-tech.ai/
Core Scientific,post-IPO debt,https://www.linkedin.com/company/corescientific,https://corescientific.com/
Yurts Technologies,Series B,https://www.linkedin.com/company/yurtsai,https://yurts.ai/
Docyt,Convertible Note,https://www.linkedin.com/company/docyt,https://www.docyt.com/
Metanovas Biotech,Series A,https://www.linkedin.com/company/metanovas-biotech,https://www.metanovas.com/
Golgix,Seed,https://www.linkedin.com/company/golgix/,https://www.golgix.com/
Kalavai,Pre-Seed,,https://www.kalavai.net/
Revilico Inc,Pre-Seed,https://www.linkedin.com/company/revilicoinc/?viewAsMember=true,https://revilico.bio/
AccurKardia,Seed,https://www.linkedin.com/company/accurkardia/,https://www.accurkardia.com/
EvenFlow AI,Seed,https://www.linkedin.com/company/evenflow-ai,https://evenflow.ai/
The Bot Company,Seed,https://www.linkedin.com/company/botco,https://www.bot.co/
General Counsel AI,Series A,https://www.linkedin.com/company/gc-ai/,https://getgc.ai/
Medsien,Convertible Note,https://www.linkedin.com/company/medsien,https://www.medsien.com/
STYRK AI,Seed,https://www.linkedin.com/company/styrk-ai,https://styrk.ai/
Preemadonna,Convertible Note,https://www.linkedin.com/company/preemadonna,http://www.preemadonna.com/
Alife Virtual,Seed,,https://www.alifevirtual.com/
PensarAI,Pre-Seed,https://www.linkedin.com/company/pensarai,https://www.pensarai.com/
Artorias,Seed,https://www.linkedin.com/company/artoriastech,https://artorias.com/
Osta,Pre-Seed,https://www.linkedin.com/company/%C3%B6sta/,https://www.osta.ai/
Extrasense Technologies,Pre-Seed,https://www.linkedin.com/company/extrasense-tech/,https://www.extrasense.co/
