Company Name,Funding Type,LinkedIn Company URL,Website URL
Intryc,Seed,https://www.linkedin.com/company/intryc,https://intryc.com/
Riley AI,Seed,,https://askriley.io/
Strange Loop Labs,Seed,https://www.linkedin.com/company/guru-ai,https://www.strangelooplabs.ai/
Indigo,Seed,https://www.linkedin.com/company/useindigo/,https://www.useindigo.com/
Coval,Seed,https://www.linkedin.com/company/covaldev/,https://www.coval.dev/
AX Accelerator,Angel,https://www.linkedin.com/company/ax-accelerator,https://fuelarts.com/AX
Anthropic,Corporate,https://www.linkedin.com/company/anthropicresearch,https://www.anthropic.com/
Clay,Series B,https://www.linkedin.com/company/clay-run,https://clay.com/
Eleos Health,Series C,https://www.linkedin.com/company/eleoshealth,https://www.eleos.health/
Teal,Series A,https://www.linkedin.com/company/tealhq,https://www.tealhq.com/
Music AI,Series A,https://www.linkedin.com/company/musicai/,https://music.ai/
Unwrap.ai,Series A,https://www.linkedin.com/company/unwrapai/,https://www.unwrap.ai/
Workera,Corporate,https://www.linkedin.com/company/workera-ai,https://workera.ai/
Global Work,Pre-Seed,https://www.linkedin.com/company/globalworkai,https://globalwork.ai/
DataQueue,Seed,https://www.linkedin.com/company/dataqueue,https://www.dataqueue.ai/
Cydoc,Grant,https://www.linkedin.com/company/cydoc-ai/,https://www.cydoc.ai/
Percipio Health,Series A,https://www.linkedin.com/company/percipiohealth/,https://www.percipiohealth.com/
Kaiden AI,Pre-Seed,https://www.linkedin.com/company/kaiden-ai/,https://kaiden.ai/
Precog Data,Venture,https://www.linkedin.com/company/precogdata/,https://precog.com/
Glue,Pre-Seed,https://www.linkedin.com/company/gluecorp/,https://gluestudio.com/
Precog,Venture,https://www.linkedin.com/company/precogdata/,http://precog.com/
Helo Im Ai,Pre-Seed,https://www.linkedin.com/company/helo-im-ai-inc,https://www.helo-im.ai/
Xchaincoin,Seed,,https://xchaincoin.com/
Roam,Pre-Seed,https://www.linkedin.com/company/roamxyz,https://www.roam.lol/
Blaize,post-IPO equity,https://www.linkedin.com/company/blaize-ai,https://www.blaize.com/
Quantifind,Venture,http://www.linkedin.com/company/quantifind,http://quantifind.com/
Harmonya,Series B,https://www.linkedin.com/company/harmonya-inc/,https://www.harmonya.com/
ReviewerAI,Debt financing,,https://reviewer.realitywave.ai/
Impetus Technologies,PE,http://www.linkedin.com/company/impetus,http://www.impetus.com/
Coram AI,Series A,https://www.linkedin.com/company/coram-ai,https://www.coram.ai/
Slingshot AI,Series A,https://www.linkedin.com/company/slingshotai,https://slingshot.xyz/
Eve,Series A,https://www.linkedin.com/company/eve-legal/posts,https://www.eve.legal/
ZEDEDA,Venture,https://www.linkedin.com/company/zededaedge,https://www.zededa.com/
Netradyne,Series D,https://www.linkedin.com/company/netradyne,http://www.netradyne.com/
AskTuring,Seed,https://www.linkedin.com/company/askturing-ai/about/,https://askturing.ai/
CodeComply.Ai,Seed,https://www.linkedin.com/company/codecomply-ai/,http://www.codecomply.ai/
Winrate,Pre-Seed,https://www.linkedin.com/company/winrate-com,https://www.winrate.com/
Tapestry,Series A,https://www.linkedin.com/company/usetapestry/,https://www.usetapestry.dev/
qbiq,Series A,https://www.linkedin.com/company/qbiq-ai/,https://www.qbiq.ai/
Rockfish Data,Seed,https://www.linkedin.com/company/rockfish-data/,https://www.rockfish.ai/
LetsData,Pre-Seed,https://www.linkedin.com/company/letsdata/,https://www.letsdata.net/
MediaBook,Seed,https://www.linkedin.com/company/20302954/,https://mediabook.us/
BeChained,Grant,https://www.linkedin.com/company/bechained/,https://bechained.com/
Caregenix Solutions,Venture,https://www.linkedin.com/company/caregenix-solutions,https://caregenix.solutions/
Arva AI,Seed,https://www.linkedin.com/company/arva-ai/,https://www.arva.ai/
Channel Talk,Venture,https://www.linkedin.com/company/channelcorporation,https://channel.io/en
Perfumeo,Seed,https://www.linkedin.com/company/perfumeo,http://www.perfumeo-ai.com/
Genius Academy,Corporate,https://www.linkedin.com/company/geniusacademyeducation,http://www.experiencegeniusacademy.com/
Magic,Venture,https://www.linkedin.com/company/magicailabs,https://magic.dev/
Sully.ai,Series A,https://www.linkedin.com/company/sully-ai,https://sully.ai/
Rhealth,Grant,https://www.linkedin.com/company/rhealth/,https://www.rhealth.com/
Databricks,Debt financing,https://www.linkedin.com/company/databricks/,https://www.databricks.com/
Overland AI,Series A,https://www.linkedin.com/company/overland-ai,https://www.overland.ai/
Qventus,Series D,https://www.linkedin.com/company/qventus-inc,http://www.qventus.com/
Clear Labs,Series D,https://www.linkedin.com/company/clear-labs,https://www.clearlabs.com/
Raspberry AI,Series A,https://www.linkedin.com/company/raspberry-ai,https://www.raspberry.ai/
DeepSig,Grant,https://www.linkedin.com/company/deepsig/,https://www.deepsig.ai/
Archive Intel,Seed,https://www.linkedin.com/company/archive-intel,https://archiveintel.com/
First Ascent Biomedical,Seed,https://www.linkedin.com/company/33248181/,http://firstascentbio.com/
Epistemic AI,Corporate,https://www.linkedin.com/company/epistemic-ai/,https://www.epistemic.ai/
Deemos Technologies Inc,Series A,,https://www.deemos.com/
codeValet,Pre-Seed,https://www.linkedin.com/company/codevalet,https://www.codevalet.com/
Tagflow AI,Pre-Seed,https://www.linkedin.com/company/tagflow-ai/,https://tagflow-ai.com/
RAAPID INC,Series A,https://www.linkedin.com/company/raapid,https://www.raapidinc.com/
Hippocratic AI,Series B,https://www.linkedin.com/company/hippocratic-ai-health,https://www.hippocraticai.com/
DataDirect Networks,PE,http://www.linkedin.com/company/datadirect-networks,http://www.ddn.com/
Innovaccer,Series F,https://www.linkedin.com/company/innovaccer,https://www.innovaccer.com/
Boomitra,Corporate,https://www.linkedin.com/company/boomitra/,https://boomitra.com/
KamiwazaAI,Seed,https://www.linkedin.com/company/kamiwazaai,https://kamiwaza.ai/
Rena Labs,Pre-Seed,https://www.linkedin.com/company/renalabs,https://renalabs.xyz/
Absci,post-IPO equity,https://www.linkedin.com/company/absci,https://www.absci.com/
Qualified Health,Seed,https://www.linkedin.com/company/qualifiedhealth,https://www.qualifiedhealthai.com/
Anduril Industries,Grant,,https://www.anduril.com/
Fazeshift,Seed,https://www.linkedin.com/company/fazeshift,https://www.fazeshift.com/
Pison,Venture,https://www.linkedin.com/company/pison-technology-inc,https://pisontechnology.com/
VERSES,post-IPO equity,https://www.linkedin.com/company/helloverses/,https://www.verses.ai/
Nichefire,Seed,https://www.linkedin.com/company/nichefire/,https://nichefire.com/
Amesite,post-IPO equity,https://www.linkedin.com/company/amesite/,http://www.amesite.com/
Stellar,Seed,https://www.linkedin.com/company/getstellar-ai,https://www.getstellar.ai/
MilkStraw AI,Pre-Seed,https://www.linkedin.com/company/milkstraw-ai,https://www.milkstraw.ai/
OpenFunnel,Pre-Seed,https://www.linkedin.com/company/openfunnel/,https://openfunnel.dev/
Cuckoo,Pre-Seed,https://www.linkedin.com/company/cuckoohq,https://www.cuckoo.so/
Hydronos Labs,Grant,https://www.linkedin.com/company/hydronos-labs,https://www.hydronoslabs.com/
Labs,Grant,https://www.linkedin.com/company/labshq,https://labscompanies.com/
Nitrility,Seed,https://www.linkedin.com/company/nitrility,https://www.nitrility.com/
Immunocure Discovery Solutions,Seed,https://www.linkedin.com/company/immunocureds/,https://immunocure.us/
Rembrand,Series A,https://www.linkedin.com/company/getrembrand,https://www.rembrand.com/
Veritone,post-IPO equity,https://www.linkedin.com/company/veritone-inc-,https://www.veritone.com/
Kai Ai,Seed,http://linkedin.com/company/mykai-ai,https://www.mykai.ai/
August AI,Angel,,https://augstai.com/
Clout Kitchen,Seed,,https://www.cloutkitchen.net/
